tested_ids,most_possible_action,most_possible_action_cf,second_possible_action,second_possible_action_cf,third_possible_action,third_possible_action_cf,ground_truth_action
364,agent_1-actiongrab-key_5,0.9,agent_1-actionmoveto-box_7,0.7,agent_1-actionopen-box_7,0.5,agent_1-actiongrab-key_5
365,agent_1-actionopen-shelf_8,0.75,agent_1-actionmoveto-box_4,0.15,agent_1-actionwait,0.1,agent_1-actionmoveto-box_7
366,agent_1-actionmoveto-box_4,0.7,agent_1-actiongrab-banana_3,0.2,agent_1-actionunlock-box_4,0.1,agent_1-actionmoveto-shelf_8
367,agent_1-actionopen-box_4,0.95,agent_1-actionmoveto-box_4,0.03,agent_1-actionwait,0.02,agent_1-actionopen-shelf_8
368,agent_1-actiongrab-banana_3,0.95,agent_1-actionmoveto-banana_3,0.03,agent_1-actionspeak-thank_you,0.02,agent_1-actionmoveto-box_4
369,agent_1-actiongrab-banana_3,0.95,agent_1-actionmoveto-banana_3,0.03,agent_1-actionopen-box_4,0.02,agent_1-actionunlock-box_4
370,agent_1-actiongrab-banana_3,0.9,agent_1-actionopen-box_4,0.05,agent_1-actionmoveto-banana_3,0.05,agent_1-actionopen-box_4
371,agent_2-actionmoveto-chess_3,0.7,agent_2-actionrequesthelp-agent_1-putonto-chess_3-table_4,0.2,agent_2-actionwait,0.1,agent_2-actionmoveto-key_6
372,agent_2-actionopen-box_5,0.7,agent_2-actionmoveto-chess_3,0.2,agent_2-actionwait,0.1,agent_2-actiongrab-box_5
373,agent_2-actiongrab-chess_3,0.95,agent_2-actionputonto-chess_3-table_4,0.65,agent_2-actionmoveto-table_4,0.3,agent_2-actionmoveto-agent_1
374,agent_2-actionmoveto-chess_3,0.7,agent_2-actiongrab-chess_3,0.2,agent_2-actionmoveto-table_4,0.1,agent_2-actionmoveto-table_4
375,agent_2-actionmoveto-chess_3,0.6,agent_2-actiongrab-chess_3,0.3,agent_2-actionmoveto-agent_1,0.1,agent_2-actionputonto-chess_3
376,agent_2-actionmoveto-box_4,0.6,agent_2-actionpointto-box_4,0.3,agent_2-actionwait,0.1,agent_2-actionwavehand
377,agent_2-actionpointto-box_4,0.7,agent_2-actionmoveto-box_4,0.2,agent_2-actionspeak-hello,0.1,agent_2-actionspeak-hello!
378,agent_2-actionmoveto-box_4,0.65,agent_2-actionpointto-box_4,0.25,agent_2-actionwait,0.1,agent_2-actionspeak-hello!
379,agent_2-actiongrab-timer_6,0.5,agent_2-actionwait,0.3,agent_2-actionspeak-hello,0.2,agent_2-actionmoveto-timer_6
380,agent_2-actiongrab-timer_6,0.7,agent_2-actionspeak-hello,0.2,agent_2-actionwait,0.1,agent_2-actionwait
381,agent_2-actiongrab-timer_6,0.5,agent_2-actionwait,0.3,agent_2-actionmovetoattention-agent_1,0.2,agent_2-actionspeak-hello!
382,agent_2-actionpointto-timer_6,0.6,agent_2-actiongrab-timer_6,0.3,agent_2-actionspeak-thank,0.1,agent_2-actiongrab-timer_6
383,agent_2-actionputdown-timer_6,0.5,agent_2-actionspeak-hello,0.3,agent_2-actionwait,0.2,agent_2-actionspeak-hello!
384,agent_2-actionpointto-timer_6,0.7,agent_2-actiongiveto-timer_6-agent_1,0.2,agent_2-actionwait,0.1,agent_2-actionmoveto-books_3
385,agent_2-actiongrab-books_6,0.7,agent_2-actionmoveto-box_7,0.2,agent_2-actionputinto-books_6-box_7,0.1,agent_2-actiongrab-books_6
386,agent_2-actionputinto-books_6-box_7,0.95,agent_2-actionmoveto-box_7,0.03,agent_2-actionwait,0.02,agent_2-actionmoveto-box_7
387,agent_2-actionputinto-books_6-box_7,0.95,agent_2-actionwait,0.03,agent_2-actionrotateto-box_7,0.02,agent_2-actionopen-box_7
388,agent_2-actionmoveto-box_7,0.7,agent_2-actionmoveto-agent_1,0.2,agent_2-actionopen-box_7,0.1,agent_2-actionputinto-books_6
389,agent_2-actionmoveto-agent_1,0.6,agent_2-actionmoveto-box_7,0.3,agent_2-actionwait,0.1,agent_2-actionclose-box_7
390,agent_2-actionmoveto-box_7,0.8,agent_2-actionopen-box_7,0.6,agent_2-actionputinto-books_6-box_7,0.5,agent_2-actionmoveto-agent_1
391,agent_2-actionputinto-books_6-box_7,0.6,agent_2-actionmoveto-box_7,0.3,agent_2-actionwait,0.1,agent_2-actionmoveto-shelf_8
392,agent_1-actionmoveto-shelf_6,0.4,agent_1-actionmoveto-box_8,0.3,agent_1-actionmoveto-table_4,0.2,agent_1-actionmovetoattention-agent_2
393,agent_1-actiongrab-books_7,0.5,agent_1-actionmoveto-shelf_6,0.3,agent_1-actionmoveto-table_4,0.2,"agent_1-actionmoveto-[-406.0, -70.00000000000011]"
394,agent_1-actiongrab-books_7,0.6,agent_1-actionmoveto-shelf_6,0.3,agent_1-actionmoveto-table_4,0.1,agent_1-actionopen-box_8
395,Agent_1-ActionMoveTo-Table_4,0.5,Agent_1-ActionSpeak-Hello,0.3,"Agent_1-ActionMoveTo-[-306, -70]",0.2,agent_1-actionspeak-hello!
396,agent_1-actionopen-shelf_6,0.7,agent_1-actionmoveto-shelf_6,0.2,agent_1-actionrotateto-shelf_6,0.1,"agent_1-actionmoveto-[-196.0, 154.0]"
397,agent_1-actiongrab-cup_3,0.95,agent_1-actionmoveto-table_4,0.03,agent_1-actionrotateto-cup_3,0.02,"agent_1-actionmoveto-[-14.0, -210.0]"
398,agent_1-actiongrab-cup_3,0.95,agent_1-actionmoveto-table_4,0.03,agent_1-actionwait,0.02,"agent_1-actionmoveto-[322.0, -294.0]"
399,agent_1-actiongrab-cup_3,0.95,agent_1-actionmoveto-table_4,0.03,agent_1-actionwait,0.02,agent_1-actionmoveto-shelf_6
400,agent_1-actiongrab-cup_3,0.95,agent_1-actionmoveto-table_4,0.03,agent_1-actionwait,0.02,agent_1-actionopen-shelf_6
401,agent_2-actiongrab-key_5,0.8,agent_2-actionmoveto-key_5,0.15,agent_2-actionwait,0.05,agent_2-actionmoveto-key_5
402,agent_2-actiongrab-key_5,0.8,agent_2-actionmoveto-box_4,0.15,agent_2-actionspeak-hello,0.05,agent_2-actiongrab-key_5
403,agent_2-actionunlock-box_4,0.8,agent_2-actionopen-box_4,0.6,agent_2-actionmoveto-agent_1,0.3,agent_2-actionmoveto-box_4
404,agent_2-actiongrab-timer_3,0.95,agent_2-actionmoveto-agent_1,0.03,agent_2-actionwait,0.02,agent_2-actiongrab-key_5
405,agent_2-actiongrab-timer_3,0.9,agent_2-actiongiveto-timer_3-agent_1,0.7,agent_2-actionmoveto-agent_1,0.5,agent_2-actionunlock-box_4
406,agent_2-actiongrab-timer_3,0.95,agent_2-actiongiveto-timer_3-agent_1,0.03,agent_2-actionmoveto-agent_1,0.02,agent_2-actiongrab-timer_3
407,agent_1-actionspeak-hello,0.5,agent_1-actionmoveto-agent_2,0.3,agent_1-actionwait,0.2,agent_1-actionperform-drink
408,agent_1-actiongrab-dumbbell_3,0.8,agent_1-actionmoveto-dumbbell_3,0.15,agent_1-actionwait,0.05,agent_1-actionmoveto-dumbbell_3
409,agent_1-actiongrab-dumbbell_3,0.7,agent_1-actionmoveto-dumbbell_3,0.2,agent_1-actionspeak-thank_you,0.1,agent_1-actiongrab-dumbbell_3
410,agent_1-actionputdown-dumbbell_3,0.6,agent_1-actionwait,0.3,agent_1-actionspeak-thank,0.1,agent_1-actionmoveto-agent_2
411,agent_2-requesthelp-me,1.0,agent_1-actionwait,0.3,agent_1-actionspeak-thank,0.1,agent_1-actionspeak-hello!
412,agent_1-actiongrab-dumbbell_3,0.7,agent_1-actionspeak-thank,0.2,agent_1-actionnodhead-agent_2,0.1,"agent_1-actionmoveto-[406.0, -448.0]"
413,agent_1-actionwavehand-agent_2,0.6,agent_1-actionspeak-thank,0.3,agent_1-actiongrab-dumbbell_3,0.1,agent_1-actionspeak-thank you!
414,agent_1-actionnodhead-agent_2,0.7,agent_1-actionwavehand-agent_2,0.6,agent_1-actionwait,0.3,agent_1-actionmoveto-box_6
415,agent_1-actiongrab-dumbbell_3,0.6,agent_1-actionputinto-dumbbell_3-box_5,0.3,agent_1-actionspeak-thank,0.1,agent_1-actionpointto-agent_2
416,agent_2-actionpointto-timer_3,0.5,agent_2-actionwait,0.3,agent_2-actionnodhead-agent_1,0.2,agent_2-actionwait
417,agent_2-actiongrab-timer_3,0.7,agent_2-actionmoveto-timer_3,0.2,agent_2-actionspeak,0.1,agent_2-actionwait
418,agent_2-actiongrab-timer_3,0.95,agent_2-actionmoveto-timer_3,0.03,agent_2-actionspeak-thank_you,0.02,agent_2-actionwait
419,agent_2-actiongrab-timer_3,0.95,agent_2-actionmoveto-timer_3,0.03,agent_2-actionwait,0.02,agent_2-actionwait
420,agent_1-actionmoveto-box_4,0.6,agent_1-actionopen-box_4,0.3,agent_1-actionpointto-box_4,0.1,agent_1-actionmoveto-timer_3
421,actiongrab-timer_3,0.8,actiongiveto-timer_3-agent_2,0.6,actionmoveto-agent_2,0.4,agent_1-actionopen-box_4
422,agent_1-actiongiveto-timer_3-agent_2,0.65,agent_1-actiongrab-timer_3,0.25,agent_1-actionmoveto-agent_2,0.1,agent_1-actiongrab-timer_3
423,agent_1-actiongiveto-timer_3-agent_2,0.95,agent_1-actionmoveto-agent_2,0.03,agent_1-actionwait,0.02,agent_1-actionmoveto-agent_2
424,agent_1-actiongiveto-timer_3-agent_2,0.95,agent_1-actionwait,0.03,agent_1-actionspeak-thank_you,0.02,agent_1-actiongiveto-timer_3
425,agent_2-actionmoveto-box_4,0.7,agent_2-actionrotateto-box_4,0.2,agent_2-actionwait,0.1,agent_2-actionmoveto-key_5
426,agent_2-actiongrab-key_3,0.8,agent_2-actionmoveto-key_3,0.15,agent_2-actionwait,0.05,agent_2-actionmoveto-box_4
427,agent_2-actiongrab-key_3,0.7,agent_2-actionwait,0.2,agent_2-actionspeak-thank_you,0.1,agent_2-actionspeak-hello!
428,agent_2-actiongrab-key_3,0.7,agent_2-actionspeak-thank,0.2,agent_2-actionwait,0.1,agent_2-actionmoveto-agent_1
429,agent_1-actionmoveto-agent_2,0.5,agent_1-actionshakehead-agent_2,0.3,agent_1-actionwait,0.2,agent_1-actionrotateto-agent_2
430,agent_1-actiongrab-books_5,0.5,agent_1-actionclose-box_7,0.3,agent_1-actionputinto-books_5-box_7,0.2,agent_1-actionmoveto-agent_2
431,agent_1-actiongrab-books_5,0.6,agent_1-actionwait,0.3,agent_1-actionopen-box_7,0.1,"agent_1-actionrotateto-[-392.0, -14.0]"
432,agent_1-actiongrab-key_3,0.7,agent_1-actionmoveto-box_4,0.2,agent_1-actionwait,0.1,agent_1-actiongrab-key_3
433,Agent_1-ActionOpen-Box_4,0.9,Agent_1-ActionMoveTo-Box_4,0.07,Agent_1-ActionGrab-Key_3,0.03,agent_1-actionmoveto-box_4
434,actionmoveto-key_3,0.03,actionwait,0.9,actionmoveto-key_3,0.03,agent_1-actionunlock-box_4
435,agent_1-actionopen-box_4,0.95,agent_1-actionmoveto-box_4,0.03,agent_1-actionwait,0.02,agent_1-actionopen-box_4
436,agent_2-actiongrab-cup_6,0.95,agent_2-actionmoveto-table_7,0.03,agent_2-actionwait,0.02,agent_2-actionopen-box_4
437,agent_2-actionputonto-cup_6-table_7,0.9,agent_2-actiongrab-cup_6,0.07,agent_2-actionopen-box_5,0.03,agent_2-actiongrab-cup_6
438,agent_2-actionputonto-cup_6-table_7,0.9,agent_2-actionmoveto-table_7,0.05,agent_2-actionwait,0.05,agent_2-actionmoveto-table_7
439,agent_2-actionmoveto-agent_1,0.5,agent_2-actionwavehand-agent_1,0.3,agent_2-actionwait,0.2,agent_2-actionputonto-cup_6
440,agent_2-actiongrab-key_3,0.65,agent_2-actionmoveto-agent_1,0.25,agent_2-actionwait,0.1,agent_2-actionwait
441,agent_2-actiongrab-key_3,0.8,agent_2-actiongiveto-key_3-agent_1,0.15,agent_2-actionpointto-key_3,0.05,agent_2-actionmoveto-agent_1
442,agent_2-actiongrab-key_3,0.7,agent_2-actiongiveto-key_3-agent_1,0.2,agent_2-actionspeak-thank,0.1,agent_2-actiongrab-key_3
443,agent_2-actionputinto-key_3-box_4,0.95,agent_2-actionmoveto-box_4,0.03,agent_2-actionwait,0.02,agent_2-actionmoveto-box_4
444,agent_2-actionclose-box_4,0.9,agent_2-actionnodhead-agent_1,0.7,agent_2-actionwait,0.3,agent_2-actionputinto-key_3
445,agent_2-actionwavehand-agent_1,0.7,agent_2-actionspeak-hello,0.2,agent_2-actionwait,0.1,agent_2-actionpointto-box_4
446,agent_2-actionpointto-box_5,0.5,agent_2-actionwavehand-agent_1,0.3,agent_2-actionwait,0.2,agent_2-actionspeak-hello!
447,agent_2-actionopen-box_4,0.7,agent_2-actionpointto-box_5,0.2,agent_2-actionspeak-thank_you,0.1,agent_2-actionmoveto-box_4
448,agent_2-actiongrab-chess_3,0.7,agent_2-actionpointto-box_5,0.6,agent_2-actionwavehand-agent_1,0.5,agent_2-actionpointto-chess_3
449,agent_2-actiongrab-chess_3,0.7,agent_2-actionpointto-box_5,0.2,agent_2-actiongiveto-chess_3-agent_1,0.1,agent_2-actionpointto-box_5
450,agent_2-actiongrab-chess_3,0.7,agent_2-actionwavehand-agent_1,0.2,agent_2-actionpointto-box_5,0.1,agent_2-actionrotateto-agent_1
451,agent_2-actionpointto-box_5,0.5,agent_2-actionwavehand-agent_1,0.3,agent_2-actionnodhead-agent_1,0.2,agent_2-actiongrab-chess_3
452,agent_2-actionspeak-please_put_chess_3_into_box_5,0.7,agent_2-actionpointto-box_5,0.2,agent_2-actiongrab-chess_3,0.1,agent_2-actiongiveto-chess_3
453,agent_2-actionspeak-please,0.7,agent_2-actionpointto-box_5,0.6,agent_2-actiongrab-chess_3,0.5,agent_2-actionpointto-box_5
454,agent_2-actionpointto-box_5,0.5,agent_2-actiongiveto-chess_3-agent_1,0.3,agent_2-actionspeak-thank,0.2,agent_2-actionpointto-agent_1
455,agent_2-actionunlock-box_4,0.8,agent_2-actionopen-box_4,0.15,agent_2-actionwait,0.05,agent_2-actionwait
456,agent_2-actionmoveto-box_4,0.6,agent_2-actionwait,0.3,agent_2-actionspeak-hello,0.1,"agent_2-actionmoveto-[-476.0, 307.99999999999994]"
457,"agent_2-actionmoveto-[147,22]",0.7,agent_2-actionrotateto-box_4,0.2,agent_2-actionspeak-thank_you,0.1,"agent_2-actionmoveto-[-392.0, -420.0]"
458,Agent_2-ActionMoveTo-Key_3,0.8,Agent_2-ActionGrab-Key_3,0.6,"Agent_2-ActionMoveTo-[-302, 398]",0.4,"agent_2-actionmoveto-[364.0, -336.0]"
459,agent_2-actiongrab-key_3,0.9,agent_2-actionopen-box_4,0.6,agent_2-actionmoveto-agent_1,0.3,"agent_2-actionmoveto-[364.0, 28.0]"
460,"agent_2-actionmoveto-[-302.0, 398.0]",0.7,agent_2-actionopen-box_4,0.2,agent_2-actionmoveto-agent_1,0.1,agent_2-actionmoveto-box_4
461,agent_2-actionmoveto-key_3,0.7,agent_2-actionopen-box_4,0.2,"agent_2-actionmoveto-[-302,398]",0.1,agent_2-actiongrab-box_4
462,"agent_2-actionmoveto-[-302, 398]",0.6,agent_2-actiongrab-box_4,0.3,agent_2-actionspeak-hello,0.1,agent_2-actionmoveto-key_3
463,"agent_2-actionmoveto-[-302, 398]",0.6,agent_2-actionmoveto-key_3,0.3,agent_2-actionopen-box_4,0.1,agent_2-actionmoveto-agent_1
464,agent_2-actionspeak-hello,0.7,agent_2-actionwavehand-agent_1,0.2,agent_2-actionnodhead-agent_1,0.1,agent_2-actionwavehand
465,agent_2-actionspeak-hello,0.7,agent_2-actionnodhead-agent_1,0.2,agent_2-actionmoveto-key_7,0.1,agent_2-actionrotateto-agent_1
466,agent_2-actionspeak-hello,0.5,agent_2-actionmoveto-table_4,0.3,agent_2-actionnodhead-agent_1,0.2,agent_2-actionspeak-hello!
467,agent_2-actionpointto-box_6,0.5,agent_2-actionopen-box_6,0.3,agent_2-actionrotateto-agent_1,0.2,"agent_2-actionrotateto-[196.0, -322.0]"
468,agent_2-actionpointto-key_7,0.7,agent_2-actionspeak-thank,0.2,agent_2-actionrotateto-key_7,0.1,agent_2-actionrotateto-books_3
469,agent_2-actionpointto-box_6,0.5,agent_2-actionspeak-hello,0.3,agent_2-actionwait,0.2,"agent_2-actionrotateto-[0.0, 56.0]"
470,agent_2-actiongrab-books_3,0.95,agent_2-actionmoveto-table_4,0.03,agent_2-actionspeak,0.02,agent_2-actionspeak-hello!
471,agent_2-actionpointto-books_3,0.6,agent_2-actionmovetoattention-agent_1,0.3,agent_2-actiongrab-books_3,0.1,agent_2-actionwavehand
472,agent_2-actionpointto-table_4,0.5,agent_2-actionmovetoattention-agent_1,0.3,agent_2-actiongrab-books_3,0.2,agent_2-actionrotateto-books_3
473,agent_2-actionpointto-books_3,0.5,agent_2-actiongrab-books_3,0.3,agent_2-actionwavehand,0.2,agent_2-actionmoveto-books_3
474,agent_1-actionmoveto-box_4,0.6,agent_1-actionopen-box_4,0.3,agent_1-actionmoveto-chess_5,0.1,agent_1-actionmoveto-box_4
475,agent_2-actionmovetoattention-agent_1,0.6,agent_2-actionwavehand-agent_1,0.3,agent_2-actionspeak-hello,0.1,"agent_2-actionrotateto-[28.0, 28.0]"
476,agent_2-actiongrab-chess_4,0.5,agent_2-actionpointto-chess_4,0.3,agent_2-actionmovetoattention-agent_1,0.2,agent_2-actionmoveto-chess_4
477,agent_2-actiongrab-chess_4,0.7,agent_2-actionpointto-chess_4,0.2,agent_2-actionwait,0.1,agent_2-actiongrab-chess_4
478,agent_2-actionspeak-hello,0.5,agent_2-actionwavehand-agent_1,0.3,agent_2-actionmoveto-agent_1,0.2,agent_2-actionmovetoattention-agent_1
479,agent_2-actionspeak-hello,0.7,agent_2-actionnodhead-agent_1,0.2,agent_2-actionmovetoattention-agent_1,0.1,agent_2-actionputdown-chess_4
480,agent_2-actionspeak-hello,0.5,agent_2-actionmovetoattention-agent_1,0.3,agent_2-actionwait,0.2,agent_2-actionmoveto-agent_1
481,agent_2-actionmoveto-agent_1,0.5,agent_2-actionwait,0.3,agent_2-actionrotateto-agent_1,0.2,"agent_2-actionrotateto-[-307.99999999999994, -602.0]"
482,agent_2-actionwait,0.25,agent_2-actionmoveto-agent_1,0.1,agent_1-greet-me,1.0,agent_2-actionmoveto-agent_1
483,"agent_2-actionrotateto-[-14.0, -644.0]",0.6,agent_2-actionspeak-hello,0.3,agent_2-actionfollowpointing-agent_1,0.1,"agent_2-actionrotateto-[-658.0, -518.0]"
484,agent_2-actionspeak-hello,0.4,agent_2-actionmoveto-agent_1,0.3,agent_2-actionwavehand-agent_1,0.2,agent_2-actionpointto-banana_6
485,agent_2-actiongrab-key_3,0.95,agent_2-actionmoveto-shelf_4,0.03,agent_2-actionwait,0.02,agent_2-actionopen-box_5
486,agent_2-actiongrab-key_3,0.7,agent_2-actionmoveto-shelf_4,0.2,agent_2-actionwait,0.1,agent_2-actiongrab-key_3
487,agent_2-actionmoveto-shelf_4,0.7,agent_2-actionopen-shelf_4,0.2,agent_2-actionfollowpointing-agent_1,0.1,"agent_2-actionrotateto-[308.0, 126.0]"
488,agent_2-actionopen-shelf_4,0.9,agent_2-actionputinto-key_3-shelf_4,0.7,agent_2-actiongrab-key_3,0.5,agent_2-actionputinto-key_3
489,agent_2-actionputinto-key_3-shelf_4,0.7,agent_2-actionclose-shelf_4,0.2,agent_2-actionwait,0.1,agent_2-actiongrab-key_3
490,agent_2-actionputinto-key_3-shelf_4,0.7,agent_2-actionopen-shelf_4,0.2,agent_2-actiongrab-key_3,0.1,agent_2-actionmoveto-shelf_4
491,agent_2-actionputinto-key_3-shelf_4,0.95,agent_2-actionopen-shelf_4,0.03,agent_2-actionmoveto-shelf_4,0.02,agent_2-actionopen-shelf_4
492,agent_2-actionputinto-key_3-shelf_4,0.95,agent_2-actionmoveto-shelf_4,0.03,agent_2-actionwait,0.02,agent_2-actionputinto-key_3
493,agent_1-actionmoveto-key_8,0.7,agent_1-actionspeak-thank_you,0.2,agent_1-actionwait,0.1,agent_1-actionspeak-hello!
494,agent_1-actiongrab-key_8,0.7,agent_1-actionmoveto-box_7,0.2,agent_1-actionspeak-thank,0.1,agent_1-actionmoveto-key_8
495,agent_1-actiongrab-key_8,0.7,agent_1-actionunlock-box_7,0.2,agent_1-actionmoveto-table_6,0.1,agent_1-actiongrab-key_8
496,agent_1-actionopen-box_7,0.7,agent_1-actiongrab-cup_5,0.2,agent_1-actionmoveto-box_7,0.1,agent_1-actionmoveto-box_7
497,agent_1-actiongrab-key_10,0.6,agent_1-actionmoveto-key_10,0.3,agent_1-actionwait,0.1,agent_1-actionunlock-box_7
498,agent_1-actiongrab-key_10,0.5,agent_1-actionopen-shelf_4,0.3,agent_1-actionmoveto-shelf_4,0.2,agent_1-actionshakehead
499,agent_1-actiongrab-key_10,0.4,agent_1-actiongrab-dumbbell_9,0.3,agent_1-actionwait,0.2,agent_1-actionmoveto-key_10
500,agent_1-actiongrab-key_10,0.5,agent_1-actiongrab-dumbbell_9,0.3,agent_1-actionspeak-thank,0.2,agent_1-actiongrab-key_10
501,agent_1-actionclose-shelf_4,0.5,agent_1-actionputinto-key_10-shelf_4,0.3,agent_1-actionwait,0.2,agent_1-actionmoveto-shelf_4
502,agent_1-actionclose-shelf_4,0.5,agent_1-actionputinto-key_10-shelf_4,0.3,agent_1-actionspeak-thank,0.2,agent_1-actionopen-shelf_4
503,agent_1-actionmoveto-table_6,0.7,agent_1-actionrotateto-table_6,0.2,agent_1-actionwait,0.1,"agent_1-actionmoveto-[-700.0, 392.0]"
504,"Agent_1-ActionMoveTo-[234, -451]",0.7,"Agent_1-ActionMoveTo-[-9, -527]",0.2,Agent_1-ActionWait,0.1,"agent_1-actionrotateto-[-574.0, 140.0]"
505,"agent_1-actionmoveto-[234, -451]",0.7,"agent_1-actionrotateto-[234, -451]",0.2,agent_1-actionmoveto-box_4,0.1,"agent_1-actionrotateto-[-406.0, 406.0]"
506,"agent_1-actionmoveto-[234, -451]",0.6,"agent_1-actionrotateto-[234, -451]",0.3,agent_1-actionwait,0.1,"agent_1-actionrotateto-[140.0, -154.0]"
507,"agent_1-actionmoveto-[234, -451]",0.7,"agent_1-actionrotateto-[234, -451]",0.2,agent_1-actionwait,0.1,"agent_1-actionmoveto-[700.0, -700.0]"
508,"Agent_1-ActionMoveTo-[234, -451]",0.7,"Agent_1-ActionMoveTo-[143, 266]",0.2,Agent_1-ActionGrab-Box_4,0.1,"agent_1-actionrotateto-[546.0, -504.0]"
509,"Agent_1-ActionMoveTo-[193, -385]",0.7,Agent_1-ActionOpen-Box_4,0.2,"Agent_1-ActionMoveTo-[-174, -61]",0.1,"agent_1-actionrotateto-[322.0, -658.0]"
510,Agent_1-ActionOpen-Box_4,0.6,"Agent_1-ActionMoveTo-[193.0, -385.0]",0.3,Agent_1-ActionSpeak-hello,0.1,agent_1-actionmoveto-box_4
511,agent_1-actionopen-box_4,0.5,agent_1-actionwavehand-agent_2,0.3,agent_1-actiongrab-box_4,0.2,agent_1-actiongrab-box_4
512,agent_1-actionopen-box_4,0.5,agent_1-actionmoveto-key_5,0.3,agent_1-actionwavehand-agent_2,0.2,agent_1-actionmoveto-table_6
513,agent_1-actionmoveto-chess_8,0.6,agent_1-actionpointto-chess_8,0.3,agent_1-actionmoveto-agent_2,0.1,"agent_1-actionrotateto-[-560.0, -602.0]"
514,"agent_1-actionmoveto-[-261.0, 218.0]",0.5,agent_1-actionwavehand-agent_2,0.3,agent_1-actionspeak-hello,0.2,"agent_1-actionrotateto-[-532.0, -238.0]"
515,agent_1-actionpointto-chess_8,0.7,agent_1-actionspeak-hello,0.2,"agent_1-actionmoveto-[-261,218]",0.1,"agent_1-actionmoveto-[700.0, 700.0]"
516,"agent_1-actionmoveto-[-261,218]",0.5,"agent_1-actionmoveto-[56,18]",0.3,agent_1-actionspeak-hello,0.2,"agent_1-actionrotateto-[28.0, -672.0]"
517,actionpointto-chess_8,0.5,actionmoveto-chess_8,0.3,actiongrab-key_7,0.2,agent_1-actionrotateto-books_3
518,agent_1-actiongrab-key_7,0.7,agent_1-actionmoveto-chess_8,0.2,agent_1-actionspeak-hello,0.1,agent_1-actionmovetoattention-agent_2
519,agent_1-actionpointto-chess_8,0.7,agent_1-actionspeak-hello,0.2,agent_1-actiongrab-key_7,0.1,agent_1-actionspeak-hello!
520,"agent_1-actionmoveto-[-261.0, 218.0]",0.6,agent_1-actionpointto-chess_8,0.3,agent_1-actiongrab-key_7,0.1,agent_1-actionmoveto-key_7
521,agent_1-actiongrab-key_7,0.6,agent_1-actionmoveto-chess_8,0.3,agent_1-actionpointto-chess_8,0.1,agent_1-actiongrab-key_7
522,agent_2-actionmoveto-dumbbell_3,0.7,agent_2-actionmoveto-shelf_4,0.2,agent_2-actionwait,0.1,agent_2-actionpointto-dumbbell_3
523,agent_2-actionmoveto-table_6,0.6,agent_2-actionwait,0.3,agent_2-actionpointto-shelf_4,0.1,agent_2-actionmoveto-key_8
524,agent_2-actionopen-box_7,0.85,agent_2-actiongrab-cup_5,0.1,agent_2-actionspeak-thank,0.05,agent_2-actionmoveto-agent_1
525,agent_2-actionopen-box_7,0.7,agent_2-actiongrab-cup_5,0.2,agent_2-actionmoveto-box_7,0.1,agent_2-actionmoveto-box_7
526,agent_2-actionspeak-thank,0.5,agent_2-actionwait,0.3,agent_2-actionmoveto-box_7,0.2,agent_2-actiongrab-box_7
527,agent_2-actionmoveto-agent_1,0.6,agent_2-actionshakehead-agent_1,0.3,agent_2-actionpointto-dumbbell_9,0.1,agent_2-actionmoveto-table_6
528,agent_2-actionshakehead-agent_1,0.55,agent_2-actionmoveto-table_6,0.3,agent_2-actionwait,0.15,agent_2-actionputdown-box_7
529,agent_2-actionwait,0.5,agent_2-actionshakehead-agent_1,0.3,agent_2-actionmoveto-agent_1,0.2,"agent_2-actionrotateto-[-322.0, -392.0]"
530,agent_2-actionmoveto-agent_1,0.7,agent_2-actionshakehead-agent_1,0.2,agent_2-actionwait,0.1,agent_2-actionrotateto-agent_1
531,agent_1-actionmoveto-key_6,0.6,agent_1-actionspeak-thank,0.3,agent_1-actionwait,0.1,agent_1-actionmoveto-agent_2
532,actionmoveto-key_6,0.7,actionfollowpointing-agent_2,0.2,actiongrab-key_6,0.1,agent_1-actionfollowpointing-agent_2
533,agent_1-actionmoveto-key_6,0.7,agent_1-actiongrab-key_6,0.2,agent_1-actionspeak-thank,0.1,agent_1-actionmoveto-key_6
534,agent_1-actiongrab-key_6,0.95,agent_1-actionmoveto-box_5,0.03,agent_1-actionspeak-thank,0.02,agent_1-actionrotateto-agent_2
535,agent_1-actionopen-box_5,0.95,agent_1-actiongrab-dumbbell_3,0.65,agent_1-actionmovetoattention-agent_2,0.3,agent_1-actiongrab-key_6
536,agent_1-actiongrab-dumbbell_3,0.85,agent_1-actionputonto-dumbbell_3-agent_2,0.65,agent_1-actionmoveto-agent_2,0.45,agent_1-actionmoveto-box_5
537,agent_1-actiongrab-dumbbell_3,0.9,agent_1-actiongiveto-dumbbell_3-agent_2,0.7,agent_1-actionspeak-thank,0.2,agent_1-actionunlock-box_5
538,agent_1-actiongrab-dumbbell_3,0.95,agent_1-actionopen-box_5,0.03,agent_1-actiongiveto-dumbbell_3-agent_2,0.02,agent_1-actionopen-box_5
539,agent_1-actiongrab-dumbbell_3,0.95,agent_1-actiongiveto-dumbbell_3-agent_2,0.75,agent_1-actionmoveto-agent_2,0.5,agent_1-actionshakehead
540,agent_1-actiongrab-dumbbell_3,0.95,agent_1-actionputinto-dumbbell_3-box_4,0.65,agent_1-actionmoveto-box_4,0.5,agent_1-actionopen-box_4
541,agent_2-actionwait,0.7,agent_2-actionspeak-hello,0.2,agent_2-actionpointto-timer_6,0.1,agent_2-actionshakehead
